task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
4	1e/ed13e3	51984455	JAMSUDO_NGSPIPELINE:NGSPIPELINE:FASTQC (replogle_k562_essential_lane4_guide)	COMPLETED	0	2026-09-16 14:26:50.318	1m 21s	56s	164.8%	2.5 GB	15.3 GB	820.6 MB	15.8 MB
1	1d/149b50	51984458	JAMSUDO_NGSPIPELINE:NGSPIPELINE:GUIDE_QUANT:GUIDE_INDEX (K562_day6_essential_guide_library)	COMPLETED	0	2026-09-16 14:26:53.707	1m 18s	57s	96.8%	173.2 MB	622.6 MB	143.3 MB	89.4 MB
5	61/24831b	51984462	JAMSUDO_NGSPIPELINE:NGSPIPELINE:GUIDE_QUANT:GUIDE_COUNT (replogle_k562_essential_lane4)	COMPLETED	0	2026-09-16 14:28:18.308	5m 53s	4m 55s	168.2%	11.1 GB	11.8 GB	3.1 GB	1.7 GB
3	f2/0ba222	51984456	JAMSUDO_NGSPIPELINE:NGSPIPELINE:FASTQC (replogle_k562_essential_lane4_gex)	COMPLETED	0	2026-09-16 14:26:51.508	12m 20s	12m 6s	186.7%	3 GB	15.3 GB	14 GB	25.1 MB
2	d4/059866	51984457	JAMSUDO_NGSPIPELINE:NGSPIPELINE:GEX_QUANT:KALLISTOBUSTOOLS_COUNT (replogle_k562_essential_lane4)	COMPLETED	0	2026-09-16 14:26:52.716	21m 49s	21m 11s	475.6%	35.7 GB	36.8 GB	54.3 GB	26.2 GB
6	a6/421b1b	51984496	JAMSUDO_NGSPIPELINE:NGSPIPELINE:GUIDE_ASSIGN (replogle_k562_essential_lane4)	COMPLETED	0	2026-09-16 14:48:45.408	26.7s	2s	103.2%	186.5 MB	368.4 MB	23 MB	1.4 MB
7	e9/be55e3	51984497	JAMSUDO_NGSPIPELINE:NGSPIPELINE:TO_ALIVE_H5AD (replogle_k562_essential_lane4)	COMPLETED	0	2026-09-16 14:49:18.812	53s	24s	99.8%	3.8 GB	4 GB	416.7 MB	186.6 MB
8	7a/9f4e41	51984498	JAMSUDO_NGSPIPELINE:NGSPIPELINE:MULTIQC (ngspipeline)	COMPLETED	0	2026-09-16 14:50:17.808	1m 24s	1m 13s	10.7%	576.2 MB	11.2 GB	72.6 MB	9.1 MB
