task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
4	55/276061	82168	JAMSUDO_NGSPIPELINE:NGSPIPELINE:FASTQC (replogle_k562_essential_lane4_guide)	CACHED	0	2026-09-15 21:47:17.192	3m 24s	3m 23s	176.7%	1.5 GB	16.3 GB	820.8 MB	15.8 MB
1	cb/e34d3a	59029	JAMSUDO_NGSPIPELINE:NGSPIPELINE:GUIDE_QUANT:GUIDE_INDEX (K562_day6_essential_guide_library)	CACHED	0	2026-09-15 21:25:34.634	49s	48s	79.9%	329 MB	3 GB	142.3 MB	89.4 MB
3	eb/b57d88	85548	JAMSUDO_NGSPIPELINE:NGSPIPELINE:FASTQC (replogle_k562_essential_lane4_gex)	CACHED	0	2026-09-15 21:50:41.282	20m 49s	20m 48s	349.4%	2.8 GB	20.7 GB	14 GB	25.2 MB
2	eb/bd55f3	59954	JAMSUDO_NGSPIPELINE:NGSPIPELINE:GEX_QUANT:KALLISTOBUSTOOLS_COUNT (replogle_k562_essential_lane4)	CACHED	0	2026-09-15 21:26:23.642	20m 54s	20m 52s	470.1%	15.9 GB	18.4 GB	54.3 GB	26.2 GB
5	54/0aeab4	8284	JAMSUDO_NGSPIPELINE:NGSPIPELINE:GUIDE_QUANT:GUIDE_COUNT (replogle_k562_essential_lane4)	CACHED	0	2026-09-15 22:11:30.030	3m 59s	3m 58s	156.1%	11.2 GB	14 GB	3.1 GB	1.7 GB
6	c4/587675	13236	JAMSUDO_NGSPIPELINE:NGSPIPELINE:GUIDE_ASSIGN (replogle_k562_essential_lane4)	CACHED	0	2026-09-15 22:15:29.487	2.2s	2s	215.9%	485 MB	2.3 GB	23 MB	1.1 MB
7	df/734e7e	13308	JAMSUDO_NGSPIPELINE:NGSPIPELINE:TO_ALIVE_H5AD (replogle_k562_essential_lane4)	CACHED	0	2026-09-15 22:15:31.689	25.1s	25s	113.8%	4.2 GB	6.1 GB	416.4 MB	186.6 MB
8	e7/52dcb2	14983	JAMSUDO_NGSPIPELINE:NGSPIPELINE:MULTIQC (ngspipeline)	COMPLETED	0	2026-09-15 22:16:43.746	16.3s	15.4s	144.5%	1.2 GB	21.4 GB	124.7 MB	21.3 MB
